Implementation,Device,Seconds,Frame
Dax,CUDA,0.126632,0
Dax,CUDA,0.126033,1
Dax,CUDA,0.126339,2
Dax,CUDA,0.126427,3
Dax,CUDA,0.12589,4
Dax,CUDA,0.126135,5
Dax,CUDA,0.126289,6
Dax,CUDA,0.125831,7
Dax,CUDA,0.126184,8
Dax,CUDA,0.12578,9
Dax,CUDA,0.125752,10
Dax,CUDA,0.126068,11
Dax,CUDA,0.125688,12
Dax,CUDA,0.125995,13
Dax,CUDA,0.126187,14
Dax,CUDA,0.125948,15
Dax,CUDA,0.126116,16
Dax,CUDA,0.125857,17
Dax,CUDA,0.126445,18
Dax,CUDA,0.126582,19
PISTON Modified,CUDA,0.117333,0
PISTON Modified,CUDA,0.117223,1
PISTON Modified,CUDA,0.117526,2
PISTON Modified,CUDA,0.117384,3
PISTON Modified,CUDA,0.117124,4
PISTON Modified,CUDA,0.117331,5
PISTON Modified,CUDA,0.117187,6
PISTON Modified,CUDA,0.117244,7
PISTON Modified,CUDA,0.117347,8
PISTON Modified,CUDA,0.117421,9
PISTON Modified,CUDA,0.117263,10
PISTON Modified,CUDA,0.117348,11
PISTON Modified,CUDA,0.11714,12
PISTON Modified,CUDA,0.117674,13
PISTON Modified,CUDA,0.11739,14
PISTON Modified,CUDA,0.11724,15
PISTON Modified,CUDA,0.11719,16
PISTON Modified,CUDA,0.117343,17
PISTON Modified,CUDA,0.117452,18
PISTON Modified,CUDA,0.117328,19
Dax,OpenMP,1.05676,0
Dax,OpenMP,0.909425,1
Dax,OpenMP,0.936527,2
Dax,OpenMP,0.911757,3
Dax,OpenMP,0.949272,4
Dax,OpenMP,0.912289,5
Dax,OpenMP,0.948137,6
Dax,OpenMP,0.911505,7
Dax,OpenMP,0.94216,8
Dax,OpenMP,0.917177,9
Dax,OpenMP,0.942596,10
Dax,OpenMP,0.913372,11
Dax,OpenMP,0.928517,12
Dax,OpenMP,0.921486,13
Dax,OpenMP,0.931858,14
Dax,OpenMP,0.912234,15
Dax,OpenMP,0.917029,16
Dax,OpenMP,0.945335,17
Dax,OpenMP,0.920554,18
Dax,OpenMP,0.922459,19
PISTON Modified,OpenMP,0.942862,0
PISTON Modified,OpenMP,0.918755,1
PISTON Modified,OpenMP,0.930646,2
PISTON Modified,OpenMP,0.91105,3
PISTON Modified,OpenMP,0.929105,4
PISTON Modified,OpenMP,0.918392,5
PISTON Modified,OpenMP,0.939267,6
PISTON Modified,OpenMP,1.01166,7
PISTON Modified,OpenMP,0.992028,8
PISTON Modified,OpenMP,0.922582,9
PISTON Modified,OpenMP,0.931182,10
PISTON Modified,OpenMP,0.919508,11
PISTON Modified,OpenMP,0.971352,12
PISTON Modified,OpenMP,0.924526,13
PISTON Modified,OpenMP,0.975648,14
PISTON Modified,OpenMP,0.923385,15
PISTON Modified,OpenMP,0.974606,16
PISTON Modified,OpenMP,0.933487,17
PISTON Modified,OpenMP,0.95344,18
PISTON Modified,OpenMP,0.920109,19
PISTON Original,CUDA,0.140969,0
PISTON Original,CUDA,0.141048,1
PISTON Original,CUDA,0.141219,2
PISTON Original,CUDA,0.141048,3
PISTON Original,CUDA,0.14102,4
PISTON Original,CUDA,0.141231,5
PISTON Original,CUDA,0.14093,6
PISTON Original,CUDA,0.141036,7
PISTON Original,CUDA,0.141064,8
PISTON Original,CUDA,0.140863,9
PISTON Original,CUDA,0.140911,10
PISTON Original,CUDA,0.14117,11
PISTON Original,CUDA,0.141739,12
PISTON Original,CUDA,0.141048,13
PISTON Original,CUDA,0.140984,14
PISTON Original,CUDA,0.141145,15
PISTON Original,CUDA,0.141036,16
PISTON Original,CUDA,0.14128,17
PISTON Original,CUDA,0.141293,18
PISTON Original,CUDA,0.141062,19
PISTON Original,OpenMP,1.14245,0
PISTON Original,OpenMP,1.01899,1
PISTON Original,OpenMP,1.02858,2
PISTON Original,OpenMP,1.02351,3
PISTON Original,OpenMP,0.983929,4
PISTON Original,OpenMP,1.00085,5
PISTON Original,OpenMP,0.994493,6
PISTON Original,OpenMP,1.03975,7
PISTON Original,OpenMP,1.00931,8
PISTON Original,OpenMP,0.997356,9
PISTON Original,OpenMP,1.01539,10
PISTON Original,OpenMP,0.988906,11
PISTON Original,OpenMP,0.990064,12
PISTON Original,OpenMP,0.99533,13
PISTON Original,OpenMP,1.0365,14
PISTON Original,OpenMP,1.00233,15
PISTON Original,OpenMP,0.998045,16
PISTON Original,OpenMP,0.997542,17
PISTON Original,OpenMP,0.987082,18
PISTON Original,OpenMP,1.00789,19
