"","Dataset","cores","total_mean","total_err","amrini_mean","amrini_err","viz_init_mean","viz_init_err","cth_mean","cth_err","viz_mean","viz_err","viz_sync_data_mean","viz_sync_data_err","viz_sync_md_mean","viz_sync_md_err","viz_wait_mean","viz_wait_err","spy_file_out_mean","spy_file_out_err"
"1","33k blocks",128,4246.15066964286,36.7148700616011,288.83203125,0.797633676835347,24.9752578125,24.8089718999396,3815.4763046875,19.0844864266505,116.867075892857,1.42787841118036,NA,NA,NA,NA,NA,NA,NA,NA
"2","33k blocks",256,2501.49348958333,66.5602277188196,180.3708984375,2.28008163506775,26.3644401041667,27.7403657156763,2204.0326953125,53.3437641491359,90.7254557291667,13.9595301351018,NA,NA,NA,NA,NA,NA,NA,NA
"3","33k blocks",512,1407.571875,55.1593186066819,114.635078125,0.987830119906595,30.30494921875,30.8911661166385,1202.64012890625,35.8425053781949,59.99171875,13.399713245996,NA,NA,NA,NA,NA,NA,NA,NA
"4","33k blocks",1024,867.2001953125,62.1696564536675,85.0128125,4.28880685424478,39.38154296875,9.16278784301059,692.7080078125,30.8118445801425,50.09783203125,27.5379931367554,NA,NA,NA,NA,NA,NA,NA,NA
"5","220k blocks",1024,4174.66959635417,226.52913180467,231.158854166667,10.9564321824497,56.5142415364583,30.8252843727933,3643.09415690104,164.001357690965,243.90234375,59.8894777924068,NA,NA,NA,NA,NA,NA,NA,NA
"6","220k blocks",2048,2448.47900390625,135.240053891764,160.713623046875,12.3723753438448,107.600016276042,65.2264397002911,2015.65128580729,98.6126660259959,164.514078776042,21.0483130184889,NA,NA,NA,NA,NA,NA,NA,NA
"7","220k blocks",4096,1560.08251953125,56.1624595327378,113.437060546875,1.48490460033186,187.804248046875,51.6527064670364,1137.680859375,42.1747567083027,121.1603515625,4.79923494483119,NA,NA,NA,NA,NA,NA,NA,NA
"8","220k blocks",8192,1159.19952392578,22.9950578668047,95.8415222167969,0.973974620671007,271.818542480469,6.96778422842458,703.417816162109,18.4419473129199,88.1216430664062,8.8447191622285,NA,NA,NA,NA,NA,NA,NA,NA
"9","1.5m blocks",4096,7946.20361328125,78.3149709806429,368.920084635417,1.42743047497047,172.924357096354,47.3285504640103,6236.55643717448,59.9473386715506,1167.802734375,23.4623665693551,NA,NA,NA,NA,NA,NA,NA,NA
"10","1.5m blocks",8192,5389.42057291667,168.66280716726,245.578816731771,15.6802808636336,680.435180664062,205.710468892426,3569.50419108073,49.6687068391842,893.902384440104,5.51711625948343,NA,NA,NA,NA,NA,NA,NA,NA
"11","1.5m blocks",16384,3641.81213378906,63.1880685399919,181.351318359375,1.15529958222988,588.095550537109,41.3488041221079,2131.57699584961,25.817010586514,740.788269042969,16.5144045204982,NA,NA,NA,NA,NA,NA,NA,NA
"12","1.5m blocks",32768,3496.52099609375,391.064087928731,158.363494873047,4.37082216412267,1249.69787597656,85.9405255507575,1449.62219238281,316.121545737114,638.837432861328,14.4818262364432,NA,NA,NA,NA,NA,NA,NA,NA
